schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,contract_loaded_at
,referral_person_support_needs,2,support_need,string,true,2026-08-21 09:46:13.725346
,referral_person_support_needs,3,export_date,string,true,2026-08-21 09:46:13.725346
,referral_provider,1,referral_provider_id,string,true,2026-08-21 09:46:13.725346
,referral_provider,2,referral_id,string,true,2026-08-21 09:46:13.725346
,referral_provider,3,provider_id,string,true,2026-08-21 09:46:13.725346
,referral_provider,4,is_excluded,string,true,2026-08-21 09:46:13.725346
,referral_provider,5,is_declined,string,true,2026-08-21 09:46:13.725346
,referral_provider,6,created_by,string,true,2026-08-21 09:46:13.725346
,referral_provider,7,modified_by,string,true,2026-08-21 09:46:13.725346
,referral_provider,8,created_date,string,true,2026-08-21 09:46:13.725346
,referral_provider,9,modified_date,string,true,2026-08-21 09:46:13.725346
,referral_provider,10,is_cancelled,string,true,2026-08-21 09:46:13.725346
,referral_provider,11,is_closed,string,true,2026-08-21 09:46:13.725346
,referral_provider,12,is_spot,string,true,2026-08-21 09:46:13.725346
,referral_provider,13,export_date,string,true,2026-08-21 09:46:13.725346
,referral_provider_cancel_reason,1,cancel_reason_id,string,true,2026-08-21 09:46:13.725346
,referral_provider_cancel_reason,2,referral_provider_id,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,11,country,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,12,contact_name,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,13,contact_number,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,14,contact_email_address,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,15,last_regulating_body_inspection_date,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,16,regulatory_body_registration_reference,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,17,inspection_outcome_rating,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,18,created_by,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,19,updated_by,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,20,created_timestamp,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,21,modified_timestamp,string,true,2026-08-21 09:46:13.725346
,provider_education_provision,22,export_date,string,true,2026-08-21 09:46:13.725346
,provider_framework,1,provider_framework_id,string,true,2026-08-21 09:46:13.725346
,provider_framework,2,provider_id,string,true,2026-08-21 09:46:13.725346
,provider_framework,3,framework_code,string,true,2026-08-21 09:46:13.725346
,provider_framework,4,qa_flag,string,true,2026-08-21 09:46:13.725346
,provider_framework,5,export_date,string,true,2026-08-21 09:46:13.725346
